-	(x < -11.0)	(x < 8.0)	(x < -2.0)	(x < 10.0)	(x < 20.0)	(x >= -5.0)	(x >= 0.0)	(x >= 13.0)	(x >= -9.0)	(x >= -6.0)	(G[11.0,18.0](x < 17.0))	(G[13.0,19.0](x < -4.0))	(G[7.0,16.0](x < 1.0))	(G[2.0,11.0](x < 7.0))	(G[3.0,5.0](x < -9.0))	(G[1.0,19.0](x >= -2.0))	(G[14.0,16.0](x >= 10.0))	(G[4.0,5.0](x >= -8.0))	(G[5.0,8.0](x >= 4.0))	(G[15.0,19.0](x >= 0.0))	(F[19.0,20.0](x < 5.0))	(F[11.0,20.0](x < 13.0))	(F[18.0,19.0](x < 14.0))	(F[15.0,20.0](x < 11.0))	(F[1.0,4.0](x < -2.0))	(F[10.0,17.0](x >= 18.0))	(F[11.0,14.0](x >= 1.0))	(F[18.0,19.0](x >= 0.0))	(F[9.0,11.0](x >= -2.0))	(F[7.0,10.0](x >= 1.0))	((G[4.0,5.0](x >= -8.0)) && (F[18.0,19.0](x < 14.0)))	((G[1.0,19.0](x >= -2.0)) && (x < -11.0))	((G[7.0,16.0](x < 1.0)) && (F[11.0,20.0](x < 13.0)))	((G[14.0,16.0](x >= 10.0)) && (G[13.0,19.0](x < -4.0)))	((G[14.0,16.0](x >= 10.0)) && (G[13.0,19.0](x < -4.0)))	((x < 8.0) || (G[5.0,8.0](x >= 4.0)))	((F[19.0,20.0](x < 5.0)) || (G[2.0,11.0](x < 7.0)))	((F[1.0,4.0](x < -2.0)) || (G[1.0,19.0](x >= -2.0)))	((x < -11.0) || (x >= -9.0))	((F[19.0,20.0](x < 5.0)) || (G[14.0,16.0](x >= 10.0)))
(F[1.0,4.0](x < -2.0))	55	74	64	76	86	101	106	119	97	100	85	67	63	9	-7	40	126	34	110	115	147	139	155	145	0	185	173	181	169	169	155	55	139	126	126	110	147	40	97	147
(F[10.0,17.0](x >= 18.0))	146	127	137	125	115	100	95	82	104	101	41	62	118	117	139	78	8	98	83	18	188	104	178	114	193	0	17	152	86	84	178	146	118	62	62	127	188	193	146	188
(F[11.0,14.0](x >= 1.0))	126	107	117	105	95	80	75	62	84	81	24	45	98	97	119	58	-9	78	63	64	166	82	156	152	173	40	0	130	66	124	156	126	98	45	45	107	166	173	126	166
(F[18.0,19.0](x >= 0.0))	130	111	121	109	99	84	79	66	88	85	84	104	102	101	123	62	53	82	67	60	96	86	26	88	177	104	124	0	130	128	82	130	102	104	104	111	101	177	130	96
(F[9.0,11.0](x >= -2.0))	120	101	111	99	89	74	69	56	78	75	21	102	92	91	113	52	53	72	57	62	164	80	154	150	167	36	58	128	0	58	154	120	92	102	102	101	164	167	120	164
(F[7.0,10.0](x >= 1.0))	122	103	113	101	91	76	71	58	80	77	84	108	40	93	115	54	59	74	59	68	170	146	160	156	169	42	124	134	66	0	160	122	146	108	108	103	170	169	122	170
((G[4.0,5.0](x >= -8.0)) && (F[18.0,19.0](x < 14.0)))	167	148	158	146	136	121	116	118	125	122	64	64	55	61	51	84	99	92	101	86	162	154	152	156	159	166	152	126	152	156	0	54	58	69	69	199	102	155	199	102
((G[1.0,19.0](x >= -2.0)) && (x < -11.0))	1190	1171	1181	1169	1159	1144	1139	1126	1148	1145	877	1044	939	880	1116	61	1009	1089	946	906	1174	1166	1164	1168	1165	1118	1132	1138	1132	1128	1089	0	939	1009	1009	61	94	55	61	94
((G[7.0,16.0](x < 1.0)) && (F[11.0,20.0](x < 13.0)))	595	614	604	616	626	641	646	659	637	640	444	375	52	389	551	86	585	551	585	891	608	616	616	614	597	658	638	642	632	634	551	56	0	375	375	200	68	139	200	68
((G[14.0,16.0](x >= 10.0)) && (G[13.0,19.0](x < -4.0)))	426	445	435	447	457	472	477	490	468	471	227	54	261	368	374	42	409	374	371	358	430	442	438	436	431	486	464	464	462	468	374	255	261	0	0	74	109	126	74	54
((G[14.0,16.0](x >= 10.0)) && (G[13.0,19.0](x < -4.0)))	426	445	435	447	457	472	477	490	468	471	227	54	261	368	374	42	409	374	371	358	430	442	438	436	431	486	464	464	462	468	374	255	261	0	0	74	109	126	74	54
((x < 8.0) || (G[5.0,8.0](x >= 4.0)))	-19	0	-10	2	12	27	32	45	23	26	71	73	67	37	63	6	74	64	0	75	200	200	199	200	184	197	194	199	191	190	199	61	200	74	74	0	37	6	-19	74
((F[19.0,20.0](x < 5.0)) || (G[2.0,11.0](x < 7.0)))	64	83	73	85	95	110	115	128	106	109	74	52	60	0	61	31	109	102	111	96	0	68	70	66	129	176	162	96	162	166	102	94	68	109	109	83	0	31	64	0
((F[1.0,4.0](x < -2.0)) || (G[1.0,19.0](x >= -2.0)))	55	74	64	76	86	101	106	119	97	100	85	67	63	9	-7	0	126	34	110	115	147	139	155	145	0	185	173	181	169	169	155	55	139	126	126	74	9	0	55	126
((x < -11.0) || (x >= -9.0))	0	19	9	21	11	-4	-9	-22	0	-3	71	73	67	62	63	61	74	64	65	75	200	200	199	200	184	197	194	199	191	190	199	61	200	74	74	19	62	61	0	74
((F[19.0,20.0](x < 5.0)) || (G[14.0,16.0](x >= 10.0)))	64	83	73	85	95	110	115	128	106	109	33	52	49	71	61	12	0	102	111	96	0	68	70	66	129	176	162	96	162	166	102	94	68	54	54	83	0	12	64	0
